City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
462,Phonhong,LA,70.05,broken clouds,18.5007,102.4166,Manyvong Guest House
465,Nizwa,OM,84.16,clear sky,22.9333,57.5333,Orient Apartments
469,Tucuman,AR,82.45,overcast clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
474,Gat,IL,74.08,clear sky,31.61,34.7642,OlusHome
475,Kalmunai,LK,79.54,broken clouds,7.4167,81.8167,VS Villa
476,Valparaiso,CL,67.64,clear sky,-33.0393,-71.6273,Hotel Ultramar
478,Ciudad Bolivar,VE,83.75,overcast clouds,8.1222,-63.5497,Hotel Edi
482,Yarada,IN,82.72,mist,17.65,83.2667,Vishranti
483,Richards Bay,ZA,75.79,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
484,Foumbot,CM,72.75,broken clouds,5.5079,10.6356,HÔTEL ROYAL
485,Gigmoto,PH,79.07,light rain,13.7796,124.39,Cj's Travellers Inn
489,Benghazi,LY,78.89,clear sky,32.1167,20.0667,Tibesti Hotel
490,Guarapari,BR,76.32,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
492,Noumea,NC,67.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
493,Yenagoa,NG,73.24,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
494,Ha Tinh,VN,68.07,overcast clouds,18.3333,105.9,Phú Quý
500,Bati,ET,70.27,few clouds,11.1833,40.0167,Adi 01 Kebele
506,Inhambane,MZ,75.15,clear sky,-23.865,35.3833,Oceano
507,Mweka,CD,80.49,broken clouds,-4.85,21.5667,Guest House Boshab
509,Carmelo,UY,69.21,light rain,-33.9892,-58.2856,Los Muelles Boutique Hotel
510,Seabra,BR,80.35,overcast clouds,-12.4186,-41.7703,Cambuí Hotel
511,Pathein,MM,75.88,broken clouds,16.7833,94.7333,New Pammawaddy Hotel
514,Guerrero Negro,MX,68.54,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
515,La Asuncion,VE,82.63,broken clouds,11.0333,-63.8628,Colinas de Matasiete
516,Chipinge,ZW,83.43,broken clouds,-20.1883,32.6236,Chipinge Breeze Lodge
520,Bandarbeyla,SO,78.75,clear sky,9.4942,50.8122,JABIR HOTEL
526,General Roca,AR,69.62,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
527,Sabang,ID,81.66,light rain,5.8933,95.3214,Hotel Citra
530,Presidente Epitacio,BR,88.3,broken clouds,-21.7633,-52.1156,Hotel Itaverá
532,Bereda,ES,65.41,overcast clouds,43.2686,-7.5406,Pazo de Verdes
535,Pinar Del Rio,CU,84.63,overcast clouds,22.4175,-83.6981,Hostal La Colina Dunay y Raul
537,Villa Carlos Paz,AR,67.39,broken clouds,-31.4241,-64.4978,Monte Carlo
540,Vanimo,PG,77.45,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
541,Surt,LY,86.79,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
542,Dhidhdhoo,MV,81.72,overcast clouds,6.8833,73.1,Dhidhoo beach
543,Rio Grande,BR,69.91,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
546,Rio Pardo,BR,72.07,moderate rain,-29.9897,-52.3781,HOTEL PARENTE
548,Tremedal,BR,82.72,overcast clouds,-14.9758,-41.4108,Pousada Estillos
549,High Rock,BS,80.01,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
553,Catamarca,AR,82.04,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
554,Galle,LK,80.92,few clouds,6.0367,80.217,Amangalla
555,Bullhead City,US,75.72,broken clouds,35.1478,-114.5683,Harrah's Laughlin
562,Singaparna,ID,73.44,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
563,Chicama,PE,72.39,broken clouds,-7.8447,-79.1469,Balihai Bungalows
567,Metro,ID,76.68,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
568,Kasungu,MW,84.43,few clouds,-13.0333,33.4833,Mame Motel
577,Poso,ID,76.33,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
579,Robertsganj,IN,70.3,clear sky,24.7,83.0667,Prem Hotel Lodge & Restaurant
580,Sinnamary,GF,82.67,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
581,Sola,VU,80.91,few clouds,-13.8833,167.55,Leumerus Bungalows
586,Shushtar,IR,80.37,clear sky,32.0455,48.8567,چاپ یاس کبود
587,Kampot,KH,78.85,light rain,10.6167,104.1833,Two Moons Hotel
590,Swabi,PK,66.54,clear sky,34.1199,72.4699,Zalmi Biryani and Pulao
597,Axim,GH,80.37,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
599,Port Blair,IN,80.64,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
603,Rafraf,TN,73.71,overcast clouds,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
604,Labuan,MY,78.96,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
611,Sisophon,KH,75.22,overcast clouds,13.5859,102.9737,Pyramid Hotel
612,Hervey Bay,AU,76.03,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
613,Ambovombe,MG,72.3,scattered clouds,-25.1667,46.0833,RELAHARA
614,Kambia,SL,83.21,moderate rain,9.1167,-12.9167,Kambia Africana Village Hotel
615,Ribeirao Branco,BR,80.02,broken clouds,-24.2208,-48.7656,Restaurante Hotel Andorinhas
616,Port Moresby,PG,75.25,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
620,Bonthe,SL,83.62,light rain,7.5264,-12.505,Bonthe Holiday Village
622,Gizo,SB,81.9,few clouds,-8.103,156.8419,Imagination Island
623,Dzilam Gonzalez,MX,77.85,overcast clouds,21.2833,-88.9333,posadas
631,Kinablangan,PH,79.36,overcast clouds,7.6947,126.5503,Danny Moreno Property
632,Sakakah,SA,78.64,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
635,Ewo,CG,78.98,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
639,Areka,ET,67.06,overcast clouds,7.0667,37.7,Selam Hotel ሰላም ሆቴል
641,Voh,NC,68.25,clear sky,-20.9667,164.7,Le gîte du Koniambo
645,Punta Cardon,VE,85.82,few clouds,11.6581,-70.215,Bambuda hotel
647,Uvinza,TZ,80.2,scattered clouds,-5.1036,30.3911,Crown Lodge
649,Morgan City,US,81.0,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
650,Da Nang,VN,71.58,broken clouds,16.0678,108.2208,Sun River Hotel
651,Tarnos,FR,67.96,clear sky,43.5417,-1.4628,"The Originals City, Hôtel Le Lodge, Bayonne Nord (Inter-Hotel)"
652,Bagaces,CR,82.33,overcast clouds,10.5271,-85.2548,Cabinas Tamarindo Bagaces
655,Kiunga,PG,73.62,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
