City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Cap Malheureux,MU,-19.9842,57.6142,75.47,72,3,5.01,clear sky
293,Alofi,NU,-19.0595,-169.9187,73.99,67,21,19.86,light rain
294,Mangrol,IN,21.1167,70.1167,80.08,64,8,9.19,clear sky
295,Batemans Bay,AU,-35.7167,150.1833,63.99,94,100,9.73,overcast clouds
296,Ponta Do Sol,PT,32.6667,-17.1,74.01,59,20,5.59,few clouds
297,Hadejia,NG,12.4498,10.0444,95.02,27,82,4.52,broken clouds
298,Port Hardy,CA,50.6996,-127.4199,46.58,93,75,5.75,moderate rain
299,Pimentel,PE,-6.8367,-79.9342,67.01,78,100,13.13,overcast clouds
300,Alice Springs,AU,-23.7,133.8833,74.75,31,40,10.36,scattered clouds
301,Quepos,CR,9.4236,-84.1652,86.59,73,80,3.27,broken clouds
302,Zhovkva,UA,50.0583,23.9726,43.81,63,35,8.25,scattered clouds
303,Maues,BR,-3.3836,-57.7186,94.71,43,56,4.03,broken clouds
304,Tagusao,PH,9.1924,117.8141,77.18,86,100,2.82,overcast clouds
305,Bafata,GW,12.1667,-14.75,91.81,46,80,3.22,broken clouds
306,Grand Gaube,MU,-20.0064,57.6608,75.38,72,4,5.01,clear sky
307,Quatre Cocos,MU,-20.2078,57.7625,75.09,78,21,10.09,few clouds
308,Kungurtug,RU,50.5994,97.5228,30.43,62,94,1.21,overcast clouds
309,Caravelas,BR,-17.7125,-39.2481,80.89,65,67,9.22,broken clouds
310,Gladstone,AU,-23.85,151.25,75.13,69,90,4.61,light rain
311,Bayan,CN,46.0833,127.4,39.7,56,0,7.31,clear sky
312,Loum,CM,4.7182,9.7351,80.11,78,60,3.18,light rain
313,Suez,EG,29.9737,32.5263,72.48,53,0,16.49,clear sky
314,Perth,AU,-31.9333,115.8333,60.67,82,0,8.05,clear sky
315,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,18,20,17.27,few clouds
316,Hasaki,JP,35.7333,140.8333,43.2,53,0,14.99,clear sky
317,Mackay,AU,-21.15,149.2,77.04,83,90,11.5,overcast clouds
318,Leshukonskoye,RU,64.8989,45.7622,23.58,94,16,4.79,few clouds
319,Luena,AO,-11.7833,19.9167,76.44,56,64,2.59,broken clouds
320,Ostrovnoy,RU,68.0531,39.5131,30.78,81,100,16.26,light snow
321,Chara,RU,56.9064,118.2631,33.08,56,100,0.78,overcast clouds
322,Chimbote,PE,-9.0853,-78.5783,67.62,74,96,10.31,overcast clouds
323,Kanniyakumari,IN,8.0833,77.5667,81.0,81,58,11.45,broken clouds
324,Daru,PG,-9.0763,143.2092,79.07,80,87,12.33,overcast clouds
325,Whitehorse,CA,60.7161,-135.0538,36.01,74,99,15.01,overcast clouds
326,Waipawa,NZ,-41.4122,175.5153,54.23,88,87,4.36,overcast clouds
327,Udayagiri,IN,20.1333,84.3833,64.53,76,7,2.48,clear sky
328,Pisco,PE,-13.7,-76.2167,66.02,79,8,6.67,clear sky
329,Xichang,CN,27.8964,102.2634,55.67,86,56,2.57,broken clouds
330,Kerkini,GR,41.2167,23.0833,68.16,68,60,1.72,broken clouds
331,Catina,IT,37.5021,15.0872,72.73,85,75,1.01,broken clouds
332,Rocha,UY,-34.4833,-54.3333,60.64,78,100,2.66,light rain
333,Saurimo,AO,-9.6608,20.3916,80.65,54,63,3.31,broken clouds
334,Dauphin,CA,51.1494,-100.0502,39.11,70,98,9.71,overcast clouds
335,Henties Bay,NA,-22.116,14.2845,64.85,70,0,16.69,clear sky
336,Puerto Madryn,AR,-42.7692,-65.0385,60.89,18,2,18.41,clear sky
337,Mandera,KE,3.9366,41.867,85.71,52,92,14.63,light rain
338,Kyshtovka,RU,56.555,76.6271,45.82,84,100,14.83,overcast clouds
339,Mezhdurechensk,RU,53.6942,88.0603,39.54,65,100,5.06,overcast clouds
